FeeCategoryName,ItemName,RevenueCategoryName,Amount,AmountWithNoTax,TaxTotal,OrgMemberId,OrgMemberFamilyId,MembershipName,Start,End,CourtLabels,PaymentType,TransactionType,TransactionId,TransactionDate,PaidDate,ItemCost
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,4246936,,DROP IN (FREE Membership - $10 When You Come),2024-02-24T11:00:00,2024-02-24T13:00:00,Court #8,Credit Card,Fee,25976699,2024-02-24T09:55:32.67,2024-12-16T21:41:38.157,
Event Registration,Intermediate - Open Play (3.0+),Organized Play Fees (6004),27.0,27.0,0.0,4246936,,DROP IN (FREE Membership - $10 When You Come),2024-03-10T09:00:00,2024-03-10T11:00:00,"Court #6, Court #7, Court #8",Credit Card,Fee,26695711,2024-03-05T14:33:41.86,2024-12-16T21:41:38.157,
Event Registration,Fundamentals of Pickleball - Intro To Pickleball,Organized Play Fees (6004),10.0,10.0,0.0,4246936,,DROP IN (FREE Membership - $10 When You Come),2024-04-21T13:00:00,2024-04-21T14:00:00,"Court #4, Court #5",Credit Card,Fee,29214635,2024-04-14T07:34:37.26,2024-12-16T21:41:38.157,
Event Registration,Advanced Beginner - Advanced Beginner Open Play,Organized Play Fees (6004),17.0,17.0,0.0,4834051,,DROP IN (FREE Membership - $10 When You Come),2024-06-30T13:00:00,2024-06-30T15:00:00,"Court #1, Court #2, Court #3",Credit Card,Fee,33500752,2024-06-30T10:06:02.333,2024-12-17T17:03:25.613,
Reservation,Reserve Court: Doubles,Court Fees (6002),30.0,30.0,0.0,4726799,1556629.0,DROP IN (FREE Membership - $10 When You Come),2024-08-16T18:00:00,2024-08-16T19:30:00,Court #4,Credit Card,Fee,35921039,2024-08-09T19:13:11.87,2024-12-24T13:07:41.6,
Reservation,Reserve Court: Doubles,Court Fees (6002),30.0,30.0,0.0,4726758,1556629.0,DROP IN (FREE Membership - $10 When You Come),2024-08-16T18:00:00,2024-08-16T19:30:00,Court #4,Credit Card,Fee,35921040,2024-08-09T19:13:11.9,2024-12-24T13:07:41.6,
Reservation,Reserve Court: Doubles,Court Fees (6002),50.0,50.0,0.0,5320508,,DROP IN (FREE Membership - $10 When You Come),2024-08-29T17:30:00,2024-08-29T18:30:00,Court #3,Credit Card,Fee,37096706,2024-08-29T10:20:46.83,2024-12-17T14:50:02.623,
Lesson,Semi-Private,Lesson Fees (6003),220.0,220.0,0.0,4246936,,DROP IN (FREE Membership - $10 When You Come),2024-09-22T08:00:00,2024-09-22T10:00:00,Court #8,Credit Card,Fee,38272651,2024-09-16T18:47:38.27,2024-12-16T21:41:38.157,
Event Registration,Private Event - Glenn's Private Group,Court Fees (6002),13.0,13.0,0.0,4246936,,DROP IN (FREE Membership - $10 When You Come),2024-09-24T11:00:00,2024-09-24T13:00:00,"Court #7, Court #8",Credit Card,Fee,38733057,2024-09-24T10:59:19.787,2024-12-16T21:41:38.157,
Event Registration,Cross Club Practice - 3.5-4.0 Cross Club Practice,Organized Play Fees (6004),17.0,17.0,0.0,5303855,,DROP IN (FREE Membership - $10 When You Come),2024-10-01T20:00:00,2024-10-01T23:00:00,"Court #1, Court #2, Court #3",Credit Card,Fee,39067841,2024-09-29T11:08:20.007,2024-12-17T15:03:03.85,
Event Registration,Cross Club Practice - 3.5-4.0 Cross Club Practice,Organized Play Fees (6004),17.0,17.0,0.0,5303855,,DROP IN (FREE Membership - $10 When You Come),2024-10-07T21:00:00,2024-10-07T23:00:00,"Court #4, Court #5, Court #6",Credit Card,Fee,39584807,2024-10-06T23:44:49.533,2024-12-17T15:03:03.85,
Event Registration,Cross Club Practice - 3.5-4.0 Cross Club Practice,Organized Play Fees (6004),17.0,17.0,0.0,5303855,,DROP IN (FREE Membership - $10 When You Come),2024-10-08T20:00:00,2024-10-08T23:00:00,"Court #2, Court #3",Credit Card,Fee,39598134,2024-10-07T10:14:23.413,2024-12-17T15:03:03.85,
Event Registration,Cross Club Events - (3.5-4.0) Cross Club Match Bread & Butter V Flemington,Court Fees (6002),28.0,28.0,0.0,5303855,,DROP IN (FREE Membership - $10 When You Come),2024-10-09T19:00:00,2024-10-09T22:00:00,"Court #5, Court #6, Court #7, Court #8",Credit Card,Fee,39819835,2024-10-10T13:32:45.433,2024-12-17T15:03:03.85,
Reservation,Reserve Court: Doubles,Court Fees (6002),35.0,35.0,0.0,5390091,,DROP IN (FREE Membership - $10 When You Come),2024-10-15T18:00:00,2024-10-15T20:00:00,Court #1,Credit Card,Fee,40043311,2024-10-14T09:31:07.5,2024-12-16T21:51:55.153,
Event Registration,All Levels w/ Challenge Court - All You Can Play $15 - NO Drop in fees ( Call for joining after registration closes),Organized Play Fees (6004),15.0,15.0,0.0,4468540,,DROP IN (FREE Membership - $10 When You Come),2024-10-14T21:00:00,2024-10-14T23:59:00,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6",Credit Card,Fee,40090311,2024-10-14T18:32:33.393,2024-12-09T23:15:08.56,
Event Registration,Dinks and Drinks - $35 4 Hour Halloween Play Party at the Jar - Best Costume Awards and BYOB,Organized Play Fees (6004),35.0,35.0,0.0,4246936,,DROP IN (FREE Membership - $10 When You Come),2024-10-19T18:00:00,2024-10-19T22:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",Credit Card,Fee,40205586,2024-10-16T09:17:52.483,2024-12-16T21:41:38.157,
Event Registration,Cross Club Practice - 3.5-4.0 Cross Club Practice,Organized Play Fees (6004),27.0,27.0,0.0,5303855,,DROP IN (FREE Membership - $10 When You Come),2024-10-19T09:00:00,2024-10-19T11:00:00,"Court #6, Court #7, Court #8",Credit Card,Fee,40207992,2024-10-16T09:54:46.997,2024-12-17T15:03:03.85,
Event Registration,Cross Club Events - (4.0-4.5) Cross Club League Match Pickle Jar V Lehigh Valley,Court Fees (6002),280.0,280.0,0.0,4184255,,DROP IN (FREE Membership - $10 When You Come),2024-10-17T19:00:00,2024-10-17T22:00:00,"Court #5, Court #6, Court #7, Court #8",Credit Card,Fee,40294729,2024-10-17T13:39:35.55,2024-12-27T09:10:58.933,
Reservation,"Drilling with The Titan Ball Machine $70 per HR ($2,299 Value)",Court Fees (6002),23.33,23.33,0.0,3766561,,The Founders,2024-11-01T10:00:00,2024-11-01T12:00:00,Court #1,Credit Card,Fee,40357033,2024-10-18T12:26:41.023,2024-12-16T21:38:30.06,
Reservation,Reserve Court: Doubles,Court Fees (6002),13.33,13.33,0.0,3766561,,The Founders,2024-11-01T10:00:00,2024-11-01T12:00:00,Court #2,Credit Card,Fee,40357062,2024-10-18T12:26:56.01,2024-12-16T21:38:30.06,
Event Registration,Dinks and Drinks - $35 4 Hour Halloween Play Party at the Jar - Best Costume Awards and BYOB,Organized Play Fees (6004),35.0,35.0,0.0,5624601,,DROP IN (FREE Membership - $10 When You Come),2024-10-19T18:00:00,2024-10-19T22:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",Credit Card,Fee,40434642,2024-10-19T17:58:16.94,2024-12-16T21:54:33.79,
Event Registration,Low Advanced AM - Open Play Low Advanced 3.75,Organized Play Fees (6004),25.0,25.0,0.0,5123179,,DROP IN (FREE Membership - $10 When You Come),2024-10-22T07:00:00,2024-10-22T09:00:00,"Court #5, Court #6",Credit Card,Fee,40486621,2024-10-20T18:29:11.253,2024-12-17T15:01:11.627,
Event Registration,Low Advanced - Open Play Low Advanced 3.75,Organized Play Fees (6004),17.0,17.0,0.0,3652818,882602.0,Premium Membership w. Payment Plan,2024-11-05T18:00:00,2024-11-05T20:00:00,"Court #6, Court #7, Court #8",Credit Card,Fee,40665063,2024-10-23T10:14:52.473,2024-12-16T21:36:48.203,
Event Registration,Cross Club Events - (3.5-4.0) Cross Club Match RD V Courtyard ,Court Fees (6002),28.0,28.0,0.0,5123179,,DROP IN (FREE Membership - $10 When You Come),2024-10-23T19:00:00,2024-10-23T22:00:00,"Court #5, Court #6, Court #7, Court #8",Credit Card,Fee,40702859,2024-10-23T18:40:06.04,2024-12-17T15:01:11.627,
Event Registration,Cross Club Events - (4.5-5.4) Cross Club League Match Pickle Jar V Flemington,Court Fees (6002),280.0,280.0,0.0,4184255,,DROP IN (FREE Membership - $10 When You Come),2024-10-23T19:00:00,2024-10-23T22:00:00,"Court #1, Court #2, Court #3, Court #4",Credit Card,Fee,40704766,2024-10-23T19:02:32.43,2024-12-27T09:10:58.933,
Reservation,"Drilling with The Titan Ball Machine $70 per HR ($2,299 Value)",Court Fees (6002),40.0,40.0,0.0,3714758,,Premium Membership,2024-11-07T18:00:00,2024-11-07T19:00:00,Court #4,Credit Card,Fee,40775911,2024-10-24T20:04:17.873,2024-12-16T21:37:55.147,
Event Registration,Cross Club Practice - 3.5-4.0 Cross Club Practice,Organized Play Fees (6004),17.0,17.0,0.0,5303855,,DROP IN (FREE Membership - $10 When You Come),2024-10-29T20:00:00,2024-10-29T23:00:00,"Court #5, Court #6",Credit Card,Fee,40903643,2024-10-26T21:28:24.267,2024-12-17T15:03:03.85,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,3669169,1921235.0,DROP IN (FREE Membership - $10 When You Come),2024-11-11T18:00:00,2024-11-11T20:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5",Account Credit,Fee,40930524,2024-10-27T10:36:13.87,2024-12-16T21:37:18.54,
Event Registration,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,Organized Play Fees (6004),180.0,180.0,0.0,3714758,,Premium Membership,2024-11-18T18:00:00,2024-11-18T20:00:00,,Credit Card,Fee,40936812,2024-10-27T12:18:40.06,2024-12-16T21:37:55.147,
Event Registration,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,Organized Play Fees (6004),180.0,180.0,0.0,3653235,,Premium Membership,2024-11-18T18:00:00,2024-11-18T20:00:00,,Credit Card,Fee,40940323,2024-10-27T13:06:21.81,2024-12-16T21:36:52.897,
Event Registration,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,Organized Play Fees (6004),180.0,180.0,0.0,3822950,,Bread & Butter Annual ($270 + Tax),2024-11-18T18:00:00,2024-11-18T20:00:00,,Credit Card,Fee,40948908,2024-10-27T15:15:45.547,2024-12-16T21:38:55.97,
Event Registration,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,Organized Play Fees (6004),180.0,180.0,0.0,3664711,,The Founders,2024-11-18T18:00:00,2024-11-18T20:00:00,,Credit Card,Fee,40949254,2024-10-27T15:21:06.12,2024-12-16T21:37:12.61,
Event Registration,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,Organized Play Fees (6004),180.0,180.0,0.0,5420705,,(MONTHLY) Bread & Butter - ($25 + Tax),2024-11-18T18:00:00,2024-11-18T20:00:00,,Credit Card,Fee,40950006,2024-10-27T15:32:38.84,2024-12-16T21:52:23.15,
Event Registration,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,Organized Play Fees (6004),180.0,180.0,0.0,5100435,,Sweet & Sour,2024-11-18T18:00:00,2024-11-18T20:00:00,,Credit Card,Fee,40952739,2024-10-27T16:13:35.683,2024-12-16T21:49:51.21,
Event Registration,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,Organized Play Fees (6004),180.0,180.0,0.0,3665508,,The Founders,2024-11-18T18:00:00,2024-11-18T20:00:00,,Credit Card,Fee,40961023,2024-10-27T18:27:03.483,2024-12-16T21:37:17.237,
Event Registration,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,Organized Play Fees (6004),180.0,180.0,0.0,3647604,,The Founders,2024-11-18T18:00:00,2024-11-18T20:00:00,,Credit Card,Fee,40963275,2024-10-27T19:04:49.4,2024-12-16T21:36:46.307,
Event Registration,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,Organized Play Fees (6004),180.0,180.0,0.0,3664709,,The Founders,2024-11-18T18:00:00,2024-11-18T20:00:00,,Credit Card,Fee,40965010,2024-10-27T19:39:48.683,2024-12-02T09:53:23.213,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,3664709,,The Founders,2024-11-03T10:00:00,2024-11-03T11:00:00,Court #7,Credit Card,Fee,40991509,2024-10-28T09:53:53.62,2024-12-02T09:53:54.133,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,3664711,,The Founders,2024-11-03T10:00:00,2024-11-03T11:00:00,Court #7,Credit Card,Fee,40991510,2024-10-28T09:53:53.63,2024-12-16T21:37:12.61,
Event Registration,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,Organized Play Fees (6004),180.0,180.0,0.0,3647300,,The Founders,2024-11-18T18:00:00,2024-11-18T20:00:00,,Credit Card,Fee,41034772,2024-10-28T18:04:43.38,2024-12-16T21:36:44.197,
Event Registration,Big Dill Ladder League - Session 2 Womens 3.5-3.5+ Ladder League,Organized Play Fees (6004),180.0,180.0,0.0,3807854,,DROP IN (FREE Membership - $10 When You Come),2024-11-18T18:00:00,2024-11-18T20:00:00,,Credit Card,Fee,41034808,2024-10-28T18:04:57.427,2024-12-16T21:38:51.227,
Event Registration,Advanced - Open Play Advanced 4.0+,Organized Play Fees (6004),17.0,17.0,0.0,3707788,890597.0,The Founders,2024-11-02T07:00:00,2024-11-02T09:00:00,"Court #1, Court #2",Credit Card,Fee,41046457,2024-10-28T20:22:29.72,2024-12-16T21:37:49.55,
Event Registration, High Intermediate - Open Play High Intermediate 3.5-3.5+,Organized Play Fees (6004),17.0,17.0,0.0,3714758,,Premium Membership,2024-11-03T11:00:00,2024-11-03T13:00:00,"Court #7, Court #8",Credit Card,Fee,41075357,2024-10-29T10:01:40.843,2024-12-16T21:37:55.147,
Event Registration,High Intermediate AM - Open Play High Intermediate 3.5-3.75,Organized Play Fees (6004),15.0,15.0,0.0,4010709,940128.0,Basic Membership w. Payment Plan,2024-11-01T11:00:00,2024-11-01T13:00:00,"Court #4, Court #5, Court #6",Credit Card,Fee,41076545,2024-10-29T10:17:22.09,2024-12-06T07:59:29.95,
Event Registration,High Intermediate AM - Open Play High Intermediate 3.5-3.75,Organized Play Fees (6004),15.0,15.0,0.0,4309364,1270879.0,Basic Membership w. Payment Plan,2024-11-01T11:00:00,2024-11-01T13:00:00,"Court #4, Court #5, Court #6",Credit Card,Fee,41077737,2024-10-29T10:34:34.103,2024-12-16T21:43:22.623,
Event Registration,High Intermediate AM - Open Play High Intermediate 3.5-3.75,Organized Play Fees (6004),15.0,15.0,0.0,3890214,,Basic Membership w. Payment Plan,2024-11-01T11:00:00,2024-11-01T13:00:00,"Court #4, Court #5, Court #6",Credit Card,Fee,41077747,2024-10-29T10:34:47.333,2024-12-16T21:39:18.66,
