EventId,EventName,IsTeamEvent,EventCategoryId,EventCategoryName,EventDateId,StartTime,EndTime,OrganizationMemberId,FirstName,LastName,Email,Phone,PriceToPay,PaidAmount,UnsubscribeFromMarketingEmails,UnsubscribeFromMarketingTextAlerts,SignedUpOnUtc,CancelledOnUtc
1343017,3.0 - 3.5 Open Play,,40472,Intermediate,36167519,2025-06-19T18:00:00,2025-06-19T20:00:00,5226527,REDACTED,REDACTED,REDACTED,REDACTED,17.0,,False,,2025-06-18T11:34:52.233,2025-06-18T11:42:09.667
1343007,3.75+ Open Play,,47676,Low Advanced,36167260,2025-06-19T18:00:00,2025-06-19T20:00:00,4185381,REDACTED,REDACTED,REDACTED,REDACTED,17.0,,False,,2025-06-18T14:12:50.18,2025-06-19T18:29:25.853
1342467,3.5 - 3.5+ Open Play,,40471, High Intermediate,36143117,2025-06-21T11:00:00,2025-06-21T13:00:00,7099716,REDACTED,REDACTED,REDACTED,REDACTED,27.0,,False,,2025-06-18T16:12:57.323,2025-06-21T14:37:40.777
1342723,3.75+ Open Play,,47676,Low Advanced,36154685,2025-06-18T20:00:00,2025-06-18T22:00:00,6303742,REDACTED,REDACTED,REDACTED,REDACTED,17.0,,False,,2025-06-18T17:50:56.393,2025-06-18T21:14:22.997
1346785,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,,53028,All Levels w/ Challenge Court,36286033,2025-06-18T20:00:00,2025-06-18T22:00:00,4918536,REDACTED,REDACTED,REDACTED,REDACTED,0.0,,False,,2025-06-18T18:05:30.217,2025-06-18T20:40:11.583
1343008,Open Play High Intermediate 3.5,,40471, High Intermediate,36167299,2025-06-19T18:00:00,2025-06-19T20:00:00,4338303,REDACTED,REDACTED,REDACTED,REDACTED,5.0,,False,,2025-06-18T18:24:38.153,2025-06-19T21:05:35.777
1267391,4.25 Open Play,,69929,Invitation Only Group,34342538,2025-06-19T20:00:00,2025-06-19T23:00:00,4121929,REDACTED,REDACTED,REDACTED,REDACTED,7.5,,False,,2025-06-18T18:44:09.013,2025-06-19T18:10:40.077
1342411,All Levels Open Play,,53028,All Levels w/ Challenge Court,36141290,2025-06-18T15:00:00,2025-06-18T17:00:00,5874541,REDACTED,REDACTED,REDACTED,REDACTED,25.0,,False,,2025-06-18T19:39:00.447,2025-06-18T19:40:19.623
1342724,4.0 Open Play,,40425,Advanced,36154736,2025-06-18T20:00:00,2025-06-18T22:00:00,4918536,REDACTED,REDACTED,REDACTED,REDACTED,5.0,,False,,2025-06-18T20:39:04.437,2025-06-18T20:51:07.573
1342508,3.5 - 3.5+ Open Play,,40471, High Intermediate,36144742,2025-06-20T09:00:00,2025-06-20T11:00:00,4890492,REDACTED,REDACTED,REDACTED,REDACTED,17.0,,False,,2025-06-19T00:01:39.95,2025-06-19T23:43:39.19
1342720,3.0 - 3.5 Open Play,,40472,Intermediate,36154584,2025-06-25T18:00:00,2025-06-25T20:00:00,5506132,REDACTED,REDACTED,REDACTED,REDACTED,5.0,,False,,2025-06-19T00:39:33.273,2025-06-20T17:42:01.41
1342467,3.5 - 3.5+ Open Play,,40471, High Intermediate,36143117,2025-06-21T11:00:00,2025-06-21T13:00:00,4336460,REDACTED,REDACTED,REDACTED,REDACTED,17.0,,False,,2025-06-19T00:46:16.777,2025-06-20T13:19:11.237
1342664,3.5 - 3.5+ Open Play,,40471, High Intermediate,36150133,2025-06-24T18:00:00,2025-06-24T20:00:00,4336460,REDACTED,REDACTED,REDACTED,REDACTED,17.0,,False,,2025-06-19T00:46:40.073,2025-06-23T20:30:22.76
1267384,4.5+ Open Play,,69928,Advanced Invitational Group,34342262,2025-06-19T20:00:00,2025-06-19T23:00:00,4641984,REDACTED,REDACTED,REDACTED,REDACTED,17.0,17.0,False,,2025-06-19T01:26:45.79,2025-06-19T18:50:51.003
1343024,ALL LEVELS Open Play - $15 Flat - Free with Basic & Premium Memberships,,53028,All Levels w/ Challenge Court,36167720,2025-06-19T22:00:00,2025-06-19T23:59:00,4215138,REDACTED,REDACTED,REDACTED,REDACTED,0.0,,False,,2025-06-19T14:18:07.79,2025-06-19T21:02:24.777
1343024,ALL LEVELS Open Play - $15 Flat - Free with Basic & Premium Memberships,,53028,All Levels w/ Challenge Court,36167720,2025-06-19T22:00:00,2025-06-19T23:59:00,4227203,REDACTED,REDACTED,REDACTED,REDACTED,0.0,,False,,2025-06-19T14:18:07.793,2025-06-19T21:02:24.793
