EventId,EventName,IsTeamEvent,EventCategoryId,EventCategoryName,EventDateId,StartTime,EndTime,OrganizationMemberId,FirstName,LastName,Email,Phone,PriceToPay,PaidAmount,UnsubscribeFromMarketingEmails,UnsubscribeFromMarketingTextAlerts,SignedUpOnUtc,CancelledOnUtc
1196569,FBI Newark CAA - Pickleball Tourney & Fundraiser,,48032,Private Event,32992100,2025-06-14T11:00:00,2025-06-14T15:00:00,6435118,REDACTED,REDACTED,REDACTED,REDACTED,0.0,,False,,2025-03-13T18:14:44.777,
1228396,Session 3 Womens 3.5-3.5+ Ladder League,,51948,Big Dill Ladder League,33712118,2025-06-02T18:00:00,2025-06-02T20:00:00,3714758,REDACTED,REDACTED,REDACTED,REDACTED,,,False,,2025-03-29T16:52:59.71,
1228396,Session 3 Womens 3.5-3.5+ Ladder League,,51948,Big Dill Ladder League,33712119,2025-06-09T18:00:00,2025-06-09T20:00:00,3714758,REDACTED,REDACTED,REDACTED,REDACTED,,,False,,2025-03-29T16:52:59.713,
1228396,Session 3 Womens 3.5-3.5+ Ladder League,,51948,Big Dill Ladder League,33712118,2025-06-02T18:00:00,2025-06-02T20:00:00,3653235,REDACTED,REDACTED,REDACTED,REDACTED,,,False,,2025-03-29T16:58:59.607,
1228396,Session 3 Womens 3.5-3.5+ Ladder League,,51948,Big Dill Ladder League,33712118,2025-06-02T18:00:00,2025-06-02T20:00:00,5100435,REDACTED,REDACTED,REDACTED,REDACTED,,,False,,2025-03-29T17:37:30.913,
1228396,Session 3 Womens 3.5-3.5+ Ladder League,,51948,Big Dill Ladder League,33712118,2025-06-02T18:00:00,2025-06-02T20:00:00,3754359,REDACTED,REDACTED,REDACTED,REDACTED,,,False,,2025-03-29T17:42:18.233,
1228396,Session 3 Womens 3.5-3.5+ Ladder League,,51948,Big Dill Ladder League,33712119,2025-06-09T18:00:00,2025-06-09T20:00:00,3653235,REDACTED,REDACTED,REDACTED,REDACTED,,,False,,2025-03-29T16:58:59.61,
1228396,Session 3 Womens 3.5-3.5+ Ladder League,,51948,Big Dill Ladder League,33712119,2025-06-09T18:00:00,2025-06-09T20:00:00,5100435,REDACTED,REDACTED,REDACTED,REDACTED,,,False,,2025-03-29T17:37:30.927,
1228396,Session 3 Womens 3.5-3.5+ Ladder League,,51948,Big Dill Ladder League,33712119,2025-06-09T18:00:00,2025-06-09T20:00:00,3754359,REDACTED,REDACTED,REDACTED,REDACTED,,,False,,2025-03-29T17:42:18.237,
1228396,Session 3 Womens 3.5-3.5+ Ladder League,,51948,Big Dill Ladder League,33712118,2025-06-02T18:00:00,2025-06-02T20:00:00,3822950,REDACTED,REDACTED,REDACTED,REDACTED,,,False,,2025-03-29T20:01:25.177,
