FeeCategoryName,ItemName,RevenueCategoryName,Amount,AmountWithNoTax,TaxTotal,OrgMemberId,OrgMemberFamilyId,MembershipName,Start,End,CourtLabels,PaymentType,TransactionType,TransactionId,TransactionDate,PaidDate,ItemCost
Membership Fee,Membership Dues,Membership Sales (6001),1.66,1.56,1.65,3913861,,DROP IN (FREE Membership - $10 When You Come),2024-02-18T00:00:00,2024-03-17T02:00:00,,Credit Card,Fee,26380836,2024-02-29T22:34:08.39,2025-01-14T09:43:47.6,
Event Registration, High Intermediate - Open Play (3.5+),Organized Play Fees (6004),27.0,27.0,0.0,4220632,,The Aaron Special,2024-03-08T09:00:00,2024-03-08T11:00:00,"Court #1, Court #2",Account Credit,Fee,26686720,2024-03-05T12:34:42.353,2025-01-14T09:29:36.427,
Event Registration,Advanced Beginner - Open Play Advanced Beginner,Organized Play Fees (6004),27.0,27.0,0.0,4220632,,The Aaron Special,2024-03-18T11:00:00,2024-03-18T13:00:00,Court #3,Account Credit,Fee,27411721,2024-03-17T08:24:04.793,2025-01-14T09:29:36.427,
Event Registration,Adult Social: High Intermediate (Deleted) - Men's High Intermediate Ladder League 3.5+,Organized Play Fees (6004),120.0,120.0,0.0,4114950,,The Aaron Special,2024-04-04T21:00:00,2024-04-04T23:00:00,"Court #1, Court #2, Court #3",Account Credit,Fee,28299253,2024-03-30T14:20:12.743,2025-01-14T09:17:28,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,3739793,,The Aaron Special,2024-04-11T18:30:00,2024-04-11T20:30:00,Court #7,Account Credit,Fee,28637893,2024-04-04T11:35:20.44,2025-01-14T09:02:14.537,
Event Registration,Advanced Beginner - Open Play Advanced Beginner ,Organized Play Fees (6004),27.0,27.0,0.0,4220632,,The Aaron Special,2024-04-06T15:00:00,2024-04-06T17:00:00,Court #3,Account Credit,Fee,28774767,2024-04-06T13:33:34.547,2025-01-14T09:29:36.427,
Event Registration,Advanced Beginner - Open Play Advanced Beginner,Organized Play Fees (6004),22.0,22.0,0.0,4220632,,The Aaron Special,2024-04-12T11:00:00,2024-04-12T12:30:00,"Court #4, Court #5",Account Credit,Fee,29108043,2024-04-12T07:45:39.143,2025-01-14T09:29:36.427,
Event Registration,Fundamentals of Pickleball - Intro To Pickleball,Organized Play Fees (6004),10.0,10.0,0.0,4220632,,The Aaron Special,2024-04-21T13:00:00,2024-04-21T14:00:00,"Court #4, Court #5",Account Credit,Fee,29214627,2024-04-14T07:34:29.637,2025-01-14T09:29:36.427,
Event Registration, High Intermediate - Open Play 3.5,Organized Play Fees (6004),12.0,12.0,0.0,3890986,,The Aaron Special,2024-04-16T10:00:00,2024-04-16T11:30:00,"Court #1, Court #2",Account Credit,Fee,29246075,2024-04-14T18:12:48.167,2025-01-14T09:27:22.417,
Event Registration,Advanced Beginner - Open Play Advanced Beginner,Organized Play Fees (6004),22.0,22.0,0.0,4220632,,The Aaron Special,2024-04-17T09:30:00,2024-04-17T11:00:00,"Court #3, Court #4",Account Credit,Fee,29398265,2024-04-17T07:12:19.523,2025-01-14T09:29:36.427,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,3739793,,The Aaron Special,2024-04-23T19:00:00,2024-04-23T21:00:00,Court #8,Account Credit,Fee,29531517,2024-04-19T12:05:10.523,2025-01-14T09:02:14.537,
Event Registration, High Intermediate - King/Queen of the Court High Intermediate 3.5+,Organized Play Fees (6004),17.0,17.0,0.0,4114950,,The Aaron Special,2024-04-28T09:00:00,2024-04-28T11:00:00,"Court #1, Court #2, Court #3, Court #4",Account Credit,Fee,29944843,2024-04-26T18:38:19.863,2025-01-14T09:17:28,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,3739793,,The Aaron Special,2024-04-30T19:00:00,2024-04-30T21:00:00,Court #2,Account Credit,Fee,30058830,2024-04-28T21:18:49.277,2025-01-14T09:02:14.537,
Event Registration,Intermediate/High Intermediate Clinic - Private with Rich L,,140.0,140.0,0.0,4114950,,The Aaron Special,2024-04-30T09:00:00,2024-04-30T10:00:00,Court #8,Account Credit,Fee,30102144,2024-04-29T15:27:09.5,2025-01-14T09:17:28,
Reservation,Reserve Court: Doubles,Court Fees (6002),13.33,13.33,0.0,4587623,1660312.0,DROP IN (FREE Membership - $10 When You Come),2024-05-02T20:00:00,2024-05-02T21:00:00,Court #8,Credit Card,Fee,30330056,2024-05-02T19:59:58.537,2025-01-24T16:03:24.657,
Event Registration,Adult Social: High Intermediate (Deleted) - Dinko De Mayo Battle 3.0-3.5+,Organized Play Fees (6004),30.0,30.0,0.0,4114950,,The Aaron Special,2024-05-05T07:00:00,2024-05-05T09:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",Account Credit,Fee,30404677,2024-05-04T10:00:34.343,2025-01-14T09:17:28,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,3739793,,The Aaron Special,2024-05-09T17:00:00,2024-05-09T18:00:00,Court #8,Account Credit,Fee,30584426,2024-05-07T13:16:50.71,2025-01-14T09:02:14.537,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,3739793,,The Aaron Special,2024-05-16T18:00:00,2024-05-16T20:00:00,Court #8,Account Credit,Fee,30648658,2024-05-08T14:46:36.123,2025-01-14T09:02:14.537,
Reservation,Reserve Court: Doubles,Court Fees (6002),40.0,40.0,0.0,3560719,,The Aaron Special,2024-05-09T13:00:00,2024-05-09T14:00:00,Court #7,Account Credit,Fee,30693794,2024-05-09T11:59:44.413,2025-01-14T09:07:29.843,
POS,Equipment - Joola Simone Jardim Hyperion Blue 16MM,Other POS (6006),254.83,239.0,15.83,4114950,,The Aaron Special,2024-05-09T23:18:08.417,2024-05-09T23:18:08.417,,Account Credit,Fee,30731224,2024-05-09T23:18:08.417,2025-01-14T09:17:28,0.0
Reservation,Reserve Court: Doubles,Court Fees (6002),10.0,10.0,0.0,3739793,,The Aaron Special,2024-05-13T21:00:00,2024-05-13T22:00:00,Court #4,Account Credit,Fee,30806397,2024-05-11T13:34:36.533,2025-01-14T09:02:14.537,
